# Sensor Street 20, Islamabad, Pakistan (Citizen Science project sensor.community/90109)
# https://aqicn.org/station/@511660/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-11-08T00:00:00.000Z,113.5,153.75,130.25,126,136.75,7.854,170
2024-11-09T00:00:00.000Z,97.75,190.67,134.75,119.25,147,20.781,463
2024-11-10T00:00:00.000Z,96,175.5,131.13,121.5,144.88,16.883,436
2024-11-11T00:00:00.000Z,46.75,213.67,72.67,64.33,124,41.941,463
2024-11-12T00:00:00.000Z,42,183,111.25,84.5,130.75,30.734,371
2024-11-13T00:00:00.000Z,52.25,170.67,97.38,80.5,116.75,28.607,388
2024-11-14T00:00:00.000Z,72.33,233,124,107.88,150.5,32.594,400
2024-11-15T00:00:00.000Z,19.2,406,98.25,44,126.25,71.504,418
2024-11-16T00:00:00.000Z,13.6,221.25,65,50.67,75.75,24.19,537
2024-11-17T00:00:00.000Z,38.67,483.2,67.63,56.67,133.66,99.301,250
2024-11-18T00:00:00.000Z,18.75,526.2,69.5,60.5,99.25,81.25,434
2024-11-19T00:00:00.000Z,12.33,455.6,68.25,57,86.13,72.274,457
2024-11-20T00:00:00.000Z,21,560.6,95.5,61,156.66,70.788,495
2024-11-21T00:00:00.000Z,34,667.8,80.75,65.38,163.71,103.398,480
2024-11-22T00:00:00.000Z,44.25,714.8,116.63,72.88,175.5,116.138,496
2024-11-23T00:00:00.000Z,10.8,654.16,110.67,54.5,185.75,128.566,403
2024-11-24T00:00:00.000Z,12.6,1680.33,63.75,49.67,81.75,90.163,481
2024-11-25T00:00:00.000Z,12.75,4375.8,69.63,57.84,100.63,292.357,424
2024-11-26T00:00:00.000Z,1,936.14,76.13,46.25,168.8,134.069,498
2024-11-27T00:00:00.000Z,17.67,970,87.5,58.25,179.75,179.339,491
2024-11-28T00:00:00.000Z,6,686,128.25,55,225.75,139.319,543
2024-11-29T00:00:00.000Z,35.75,1085.83,97.5,56.5,338.25,177.222,325
2024-11-30T00:00:00.000Z,18,234.5,64.88,60.75,79,33.868,96
2024-12-01T00:00:00.000Z,5,659.4,74,64.25,113.34,80.881,301
2024-12-02T00:00:00.000Z,2.5,476,75,57.25,116.5,64.408,573
2024-12-03T00:00:00.000Z,0,442,44,27.17,57.29,54.796,580
2024-12-04T00:00:00.000Z,0,1375.8,30.33,21.67,49,164.353,583
2024-12-05T00:00:00.000Z,1,1038,48,28.59,90.63,117.702,581
2024-12-06T00:00:00.000Z,1,608.5,46,30.67,72.33,77.942,582
2024-12-07T00:00:00.000Z,2,489.2,62.88,47,93,64.409,574
2024-12-08T00:00:00.000Z,3.5,763.4,113.75,65.75,200.44,148.215,577
2024-12-09T00:00:00.000Z,4.8,960,103.67,53,220.08,210.278,573
2024-12-10T00:00:00.000Z,0.2,1186.5,66.75,47.5,133.75,189.363,563
2024-12-11T00:00:00.000Z,0,1193,103.33,70.84,174.75,164.377,569
2024-12-12T00:00:00.000Z,0,1154,69.38,49,148.4,155.454,574
2024-12-13T00:00:00.000Z,0,1044.33,47.5,28.75,104.38,170.762,549
2024-12-14T00:00:00.000Z,2.75,662.4,89.33,46,197.63,121.185,525
2024-12-15T00:00:00.000Z,1,1092.71,128.5,76.25,222.4,136.153,575
2024-12-16T00:00:00.000Z,1.5,1055,126.21,75.5,294.25,195.748,530
2024-12-17T00:00:00.000Z,8.2,1200,110.84,77.25,201,136.476,550
2024-12-18T00:00:00.000Z,4,1008.86,145,82.25,272.6,164.236,551
2024-12-19T00:00:00.000Z,3,1233.71,88.75,71,162.19,143.837,283
2024-12-20T00:00:00.000Z,5,1207.17,96.25,71.5,166.5,156.522,447
2024-12-21T00:00:00.000Z,2,1025.57,91.25,66.33,173.8,145.496,527
2024-12-22T00:00:00.000Z,5.4,1062.67,145.75,102.75,252.98,139.222,573
